Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel
BAG4,BAG4:O95429:Inflammation_II,O95429,940,BAG4,603884,ENSG00000156735,9530,OID30474,BAG family molecular chaperone regulator 4,Olink Explore,Inflammation_v1
ADGRB3,ADGRB3:O60242:Neurology,O60242,945,ADGRB3,602684,ENSG00000135298,577,OID20974,Adhesion G protein-coupled receptor B3,Olink Explore,Neurology_v1
BAIAP2,BAIAP2:Q9UQB8:Oncology,Q9UQB8,947,BAIAP2,605475,ENSG00000175866,10458,OID21250,Brain-specific angiogenesis inhibitor 1-associated protein 2,Olink Explore,Oncology_v1
BAX,BAX:Q07812:Neurology,Q07812,959,BAX,600040,ENSG00000087088,581,OID20856,Apoptosis regulator BAX,Olink Explore,Neurology_v1
BCAT1,BCAT1:P54687:Cardiometabolic_II,P54687,976,BCAT1,113520,ENSG00000060982,586,OID30312,"Branched-chain-amino-acid aminotransferase, cytosolic",Olink Explore,Cardiometabolic_v1
BCHE,BCHE:P06276:Inflammation_II,P06276,983,BCHE,177400,ENSG00000114200,590,OID30717,Cholinesterase,Olink Explore,Inflammation_v1
BCL2,BCL2:P10415:Oncology_II,P10415,990,BCL2,151430,ENSG00000171791,596,OID31454,Apoptosis regulator Bcl-2,Olink Explore,Oncology_v1
BCL2L1,BCL2L1:Q07817:Neurology_II,Q07817,992,BCL2L1,600039,ENSG00000171552,598,OID31152,Bcl-2-like protein 1,Olink Explore,Neurology_v1
BCL2L11,BCL2L11:O43521-2:Inflammation,O43521-2,994,BCL2L11,603827,ENSG00000153094,10018,OID20513,"Bcl-2-like protein 11, Isoform BimL ",Olink Explore,Inflammation_v1
BCR,BCR:P11274:Inflammation,P11274,1014,BCR,151410,ENSG00000186716,613,OID20558,Breakpoint cluster region protein,Olink Explore,Inflammation_v1
BDNF,BDNF:P23560:Cardiometabolic_II,P23560,1033,BDNF,113505,ENSG00000176697,627,OID30373,Brain-derived neurotrophic factor,Olink Explore,Cardiometabolic_v1
BECN1,BECN1:Q14457:Cardiometabolic_II,Q14457,1034,BECN1,604378,ENSG00000126581,8678,OID30220,Beclin-1,Olink Explore,Cardiometabolic_v1
CFB,CFB:P00751:Inflammation_II,P00751,1037,CFB,138470,ENSG00000243649,629,OID30755,Complement factor B,Olink Explore,Inflammation_v1
BGLAP,BGLAP:P02818:Cardiometabolic_II,P02818,1043,BGLAP,112260,ENSG00000242252,632,OID30389,Osteocalcin,Olink Explore,Cardiometabolic_v1
BGN,BGN:P21810:Oncology,P21810,1044,BGN,301870,ENSG00000182492,633,OID21198,Biglycan,Olink Explore,Oncology_v1
BID,BID:P55957:Inflammation,P55957,1050,BID,601997,ENSG00000015475,637,OID20517,BH3-interacting domain death agonist,Olink Explore,Inflammation_v1
BIN2,BIN2:Q9UBW5:Neurology,Q9UBW5,1053,BIN2,605936,ENSG00000110934,51411,OID21067,Bridging integrator 2,Olink Explore,Neurology_v1
BLMH,BLMH:Q13867:Cardiometabolic,Q13867,1059,BLMH,602403,ENSG00000108578,642,OID20336,Bleomycin hydrolase,Olink Explore,Cardiometabolic_v1
BLVRB,BLVRB:P30043:Neurology,P30043,1063,BLVRB,600941,ENSG00000090013,645,OID21141,Flavin reductase,Olink Explore,Neurology_v1
BMP4,BMP4:P12644:Neurology,P12644,1071,BMP4,112262,ENSG00000125378,652,OID20994,Bone morphogenetic protein 4,Olink Explore,Neurology_v1
BMP6,BMP6:P22004:Cardiometabolic,P22004,1073,BMP6,112266,ENSG00000153162,654,OID20111,Bone morphogenetic protein 6,Olink Explore,Cardiometabolic_v1
BNIP2,BNIP2:Q12982:Cardiometabolic_II,Q12982,1083,BNIP2,603292,ENSG00000140299,663,OID30292,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,Olink Explore,Cardiometabolic_v1
BNIP3L,BNIP3L:O60238:Inflammation_II,O60238,1085,BNIP3L,605368,ENSG00000104765,665,OID30525,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,Olink Explore,Inflammation_v1
BRAP,BRAP:Q7Z569:Oncology_II,Q7Z569,1099,BRAP,604986,ENSG00000089234,8315,OID31506,BRCA1-associated protein,Olink Explore,Oncology_v1
BRD1,BRD1:O95696:Oncology_II,O95696,1102,BRD1,604589,ENSG00000100425,23774,OID31259,Bromodomain-containing protein 1,Olink Explore,Oncology_v1
BRDT,BRDT:Q58F21:Cardiometabolic_II,Q58F21,1105,BRDT,602144,ENSG00000137948,676,OID30179,Bromodomain testis-specific protein,Olink Explore,Cardiometabolic_v1
BSG,BSG:P35613:Inflammation,P35613,1116,BSG,109480,ENSG00000172270,682,OID20626,Basigin,Olink Explore,Inflammation_v1
BST1,BST1:Q10588:Neurology,Q10588,1118,BST1,600387,ENSG00000109743,683,OID21051,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Olink Explore,Neurology_v1
BST2,BST2:Q10589:Neurology,Q10589,1119,BST2,600534,ENSG00000130303,684,OID21029,Bone marrow stromal antigen 2,Olink Explore,Neurology_v1
BTC,BTC:P35070:Oncology,P35070,1121,BTC,600345,ENSG00000174808,685,OID21199,Probetacellulin,Olink Explore,Oncology_v1
BTD,BTD:P43251:Inflammation_II,P43251,1122,BTD,609019,ENSG00000169814,686,OID30754,Biotinidase,Olink Explore,Inflammation_v1
BTN1A1,BTN1A1:Q13410:Oncology_II,Q13410,1135,BTN1A1,601610,ENSG00000124557,696,OID31363,Butyrophilin subfamily 1 member A1,Olink Explore,Oncology_v1
BTN2A1,BTN2A1:Q7KYR7:Inflammation,Q7KYR7,1136,BTN2A1,613590,ENSG00000112763,11120,OID20713,Butyrophilin subfamily 2 member A1,Olink Explore,Inflammation_v1
BTN3A2,BTN3A2:P78410:Inflammation,P78410,1139,BTN3A2,613594,ENSG00000186470,11118,OID20540,Butyrophilin subfamily 3 member A2,Olink Explore,Inflammation_v1
TIGAR,TIGAR:Q9NQ88:Neurology,Q9NQ88,1185,TIGAR,610775,ENSG00000078237,57103,OID20894,"Fructose-2,6-bisphosphatase TIGAR",Olink Explore,Neurology_v1
AHSA1,AHSA1:O95433:Oncology_II,O95433,1189,AHSA1,608466,ENSG00000100591,10598,OID31379,Activator of 90 kDa heat shock protein ATPase homolog 1,Olink Explore,Oncology_v1
MRPL46,MRPL46:Q9H2W6:Neurology,Q9H2W6,1192,MRPL46,611851,ENSG00000259494,26589,OID20858,"39S ribosomal protein L46, mitochondrial",Olink Explore,Neurology_v1
SERPING1,SERPING1:P05155:Inflammation_II,P05155,1228,SERPING1,606860,ENSG00000149131,710,OID30777,Plasma protease C1 inhibitor,Olink Explore,Inflammation_v1
CRNN,CRNN:Q9UBG3:Oncology,Q9UBG3,1230,CRNN,611312,ENSG00000143536,49860,OID21427,Cornulin,Olink Explore,Oncology_v1
EGLN1,EGLN1:Q9GZT9:Inflammation,Q9GZT9,1232,EGLN1,606425,ENSG00000135766,54583,OID20572,Egl nine homolog 1,Olink Explore,Inflammation_v1
C1QA,C1QA:P02745:Inflammation,P02745,1241,C1QA,120550,ENSG00000173372,712,OID20654,Complement C1q subcomponent subunit A,Olink Explore,Inflammation_v1
C1QBP,C1QBP:Q07021:Neurology_II,Q07021,1243,C1QBP,601269,ENSG00000108561,708,OID31007,"Complement component 1 Q subcomponent-binding protein, mitochondrial",Olink Explore,Neurology_v1
C1R,C1R:P00736:Inflammation_II,P00736,1246,C1R,613785,ENSG00000159403,715,OID30753,Complement C1r subcomponent,Olink Explore,Inflammation_v1
C1S,C1S:P09871:Inflammation_II,P09871,1247,C1S,120580,ENSG00000182326,716,OID30731,Complement C1s subcomponent,Olink Explore,Inflammation_v1
C2,C2:P06681:Cardiometabolic,P06681,1248,C2,613927,ENSG00000166278,717,OID20410,Complement C2,Olink Explore,Cardiometabolic_v1
FAM3B,FAM3B:P58499:Oncology,P58499,1253,FAM3B,608617,ENSG00000183844,54097,OID21372,Protein FAM3B,Olink Explore,Oncology_v1
GATD3,GATD3:P0DPI2:Cardiometabolic_II,P0DPI2,1273,GATD3,601659,ENSG00000160221,8209,OID30253,"""Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial""",Olink Explore,Cardiometabolic_v1
C3,C3:P01024:Inflammation_II,P01024,1318,C3,120700,ENSG00000125730,718,OID30776,Complement C3,Olink Explore,Inflammation_v1
C4BPB,C4BPB:P20851:Oncology,P20851,1328,C4BPB,120831,ENSG00000123843,725,OID21481,C4b-binding protein beta chain,Olink Explore,Oncology_v1
C5,C5:P01031:Inflammation_II,P01031,1331,C5,120900,ENSG00000106804,727,OID30744,Complement C5,Olink Explore,Inflammation_v1
C7,C7:P10643:Inflammation_II,P10643,1346,C7,217070,ENSG00000112936,730,OID30766,Complement component C7,Olink Explore,Inflammation_v1
SAMD9L,SAMD9L:Q8IVG5:Inflammation,Q8IVG5,1349,SAMD9L,611170,ENSG00000177409,219285,OID20536,Sterile alpha motif domain-containing protein 9-like,Olink Explore,Inflammation_v1
C8B,C8B:P07358:Inflammation_II,P07358,1353,C8B,120960,ENSG00000021852,732,OID30719,Complement component C8 beta chain,Olink Explore,Inflammation_v1
C9,C9:P02748:Inflammation_II,P02748,1358,C9,120940,ENSG00000113600,735,OID30698,Complement component C9,Olink Explore,Inflammation_v1
ADAMTS13,ADAMTS13:Q76LX8:Cardiometabolic,Q76LX8,1366,ADAMTS13,604134,ENSG00000160323,11093,OID20249,A disintegrin and metalloproteinase with thrombospondin motifs 13,Olink Explore,Cardiometabolic_v1
CA1,CA1:P00915:Cardiometabolic,P00915,1368,CA1,114800,ENSG00000133742,759,OID20409,Carbonic anhydrase 1,Olink Explore,Cardiometabolic_v1
CA11,CA11:O75493:Oncology,O75493,1370,CA11,604644,ENSG00000063180,770,OID21195,Carbonic anhydrase-related protein 11,Olink Explore,Oncology_v1
CA12,CA12:O43570:Oncology,O43570,1371,CA12,603263,ENSG00000074410,771,OID21344,Carbonic anhydrase 12,Olink Explore,Oncology_v1
CA14,CA14:Q9ULX7:Oncology,Q9ULX7,1372,CA14,604832,ENSG00000118298,23632,OID21401,Carbonic anhydrase 14,Olink Explore,Oncology_v1
CA2,CA2:P00918:Neurology,P00918,1373,CA2,611492,ENSG00000104267,760,OID21149,Carbonic anhydrase 2,Olink Explore,Neurology_v1
CA3,CA3:P07451:Cardiometabolic,P07451,1374,CA3,114750,ENSG00000164879,761,OID20271,Carbonic anhydrase 3,Olink Explore,Cardiometabolic_v1
CA4,CA4:P22748:Cardiometabolic,P22748,1375,CA4,114760,ENSG00000167434,762,OID20241,Carbonic anhydrase 4,Olink Explore,Cardiometabolic_v1
CA5A,CA5A:P35218:Cardiometabolic,P35218,1377,CA5A,114761,ENSG00000174990,763,OID20075,"Carbonic anhydrase 5A, mitochondrial",Olink Explore,Cardiometabolic_v1
CA6,CA6:P23280:Neurology,P23280,1380,CA6,114780,ENSG00000131686,765,OID21096,Carbonic anhydrase 6,Olink Explore,Neurology_v1
CA9,CA9:Q16790:Oncology,Q16790,1383,CA9,603179,ENSG00000107159,768,OID21417,Carbonic anhydrase 9,Olink Explore,Oncology_v1
CABP2,CABP2:Q9NPB3:Neurology_II,Q9NPB3,1385,CABP2,607314,ENSG00000167791,51475,OID30916,Calcium-binding protein 2,Olink Explore,Neurology_v1
CACNB1,CACNB1:Q02641:Neurology_II,Q02641,1401,CACNB1,114207,ENSG00000067191,782,OID30820,Voltage-dependent L-type calcium channel subunit beta-1,Olink Explore,Neurology_v1
CACNB3,CACNB3:P54284:Neurology_II,P54284,1403,CACNB3,601958,ENSG00000167535,784,OID31039,Voltage-dependent L-type calcium channel subunit beta-3,Olink Explore,Neurology_v1
CADPS,CADPS:Q9ULU8:Neurology_II,Q9ULU8,1426,CADPS,604667,ENSG00000163618,8618,OID30915,Calcium-dependent secretion activator 1,Olink Explore,Neurology_v1
CALB1,CALB1:P05937:Oncology,P05937,1434,CALB1,114050,ENSG00000104327,793,OID21306,Calbindin,Olink Explore,Oncology_v1
CALB2,CALB2:P22676:Neurology,P22676,1435,CALB2,114051,ENSG00000172137,794,OID20801,Calretinin,Olink Explore,Neurology_v1
S100G,S100G:P29377:Neurology_II,P29377,1436,S100G,302020,ENSG00000169906,795,OID31051,Protein S100-G,Olink Explore,Neurology_v1
CALCA,CALCA:P01258:Neurology,P01258,1437,CALCA,114130,ENSG00000110680,796,OID20983,Calcitonin,Olink Explore,Neurology_v1
CALCB,CALCB:P10092:Neurology_II,P10092,1438,CALCB,114160,ENSG00000175868,797,OID31100,Calcitonin gene-related peptide 2,Olink Explore,Neurology_v1
CAMKK1,CAMKK1:Q8N5S9:Oncology,Q8N5S9,1469,CAMKK1,611411,ENSG00000004660,84254,OID21182,Calcium/calmodulin-dependent protein kinase kinase 1,Olink Explore,Oncology_v1
CAPG,CAPG:P40121:Oncology,P40121,1474,CAPG,153615,ENSG00000042493,822,OID21431,Macrophage-capping protein,Olink Explore,Oncology_v1
CAPN3,CAPN3:P20807:Oncology_II,P20807,1480,CAPN3,114240,ENSG00000092529,825,OID31384,Calpain-3,Olink Explore,Oncology_v1
CAPS,CAPS:Q13938:Neurology_II,Q13938,1487,CAPS,114212,ENSG00000105519,828,OID31126,Calcyphosin,Olink Explore,Neurology_v1
SHPK,SHPK:Q9UHJ6:Oncology_II,Q9UHJ6,1492,SHPK,605060,ENSG00000197417,23729,OID31292,Sedoheptulokinase,Olink Explore,Oncology_v1
CASP1,CASP1:P29466:Neurology,P29466,1499,CASP1,147678,ENSG00000137752,834,OID20854,Caspase-1,Olink Explore,Neurology_v1
CASP10,CASP10:Q92851:Neurology,Q92851,1500,CASP10,601762,ENSG00000003400,843,OID20893,Caspase-10,Olink Explore,Neurology_v1
CASP2,CASP2:P42575:Inflammation,P42575,1503,CASP2,600639,ENSG00000106144,835,OID20555,Caspase-2,Olink Explore,Inflammation_v1
CASP3,CASP3:P42574:Cardiometabolic,P42574,1504,CASP3,600636,ENSG00000164305,836,OID20305,Caspase-3,Olink Explore,Cardiometabolic_v1
CASP4,CASP4:P49662:Oncology_II,P49662,1505,CASP4,602664,ENSG00000196954,837,OID31276,Caspase-4,Olink Explore,Oncology_v1
CASP7,CASP7:P55210:Neurology_II,P55210,1508,CASP7,601761,ENSG00000165806,840,OID31135,Caspase-7,Olink Explore,Neurology_v1
CASP8,CASP8:Q14790:Oncology,Q14790,1509,CASP8,601763,ENSG00000064012,841,OID21414,Caspase-8,Olink Explore,Oncology_v1
CASP9,CASP9:P55211:Inflammation_II,P55211,1511,CASP9,602234,ENSG00000132906,842,OID30530,Caspase-9,Olink Explore,Inflammation_v1
CASQ2,CASQ2:O14958:Cardiometabolic_II,O14958,1513,CASQ2,114251,ENSG00000118729,845,OID30063,Calsequestrin-2,Olink Explore,Cardiometabolic_v1
CAT,CAT:P04040:Inflammation_II,P04040,1516,CAT,115500,ENSG00000121691,847,OID30712,Catalase,Olink Explore,Inflammation_v1
SERPINA6,SERPINA6:P08185:Inflammation_II,P08185,1540,SERPINA6,122500,ENSG00000170099,866,OID30743,Corticosteroid-binding globulin,Olink Explore,Inflammation_v1
CBLN1,CBLN1:P23435:Neurology_II,P23435,1543,CBLN1,600432,ENSG00000102924,869,OID30851,Cerebellin-1,Olink Explore,Neurology_v1
SERPINH1,SERPINH1:P50454:Oncology_II,P50454,1546,SERPINH1,600943,ENSG00000149257,871,OID31322,Serpin H1,Olink Explore,Oncology_v1
CBS,CBS:P35520:Cardiometabolic_II,P35520,1550,CBS,613381,ENSG00000160200,875,OID30200,Cystathionine beta-synthase,Olink Explore,Cardiometabolic_v1
KYAT1,KYAT1:Q16773:Cardiometabolic,Q16773,1564,KYAT1,600547,ENSG00000171097,883,OID20232,Kynurenine--oxoglutarate transaminase 1,Olink Explore,Cardiometabolic_v1
CCND2,CCND2:P30279:Oncology_II,P30279,1583,CCND2,123833,ENSG00000118971,894,OID31316,G1/S-specific cyclin-D2,Olink Explore,Oncology_v1
CCNE1,CCNE1:P24864:Inflammation_II,P24864,1589,CCNE1,123837,ENSG00000105173,898,OID30456,G1/S-specific cyclin-E1,Olink Explore,Inflammation_v1
CCS,CCS:O14618:Neurology,O14618,1613,CCS,603864,ENSG00000173992,9973,OID20973,Copper chaperone for superoxide dismutase,Olink Explore,Neurology_v1
CCT5,CCT5:P48643:Oncology,P48643,1618,CCT5,610150,ENSG00000150753,22948,OID21200,T-complex protein 1 subunit epsilon,Olink Explore,Oncology_v1
CD14,CD14:P08571:Cardiometabolic,P08571,1628,CD14,158120,ENSG00000170458,929,OID20378,Monocyte differentiation antigen CD14,Olink Explore,Cardiometabolic_v1
CD163,CD163:Q86VB7:Cardiometabolic,Q86VB7,1631,CD163,605545,ENSG00000177575,9332,OID20360,Scavenger receptor cysteine-rich type 1 protein M130,Olink Explore,Cardiometabolic_v1
CD164,CD164:Q04900:Neurology,Q04900,1632,CD164,603356,ENSG00000135535,8763,OID21080,Sialomucin core protein 24,Olink Explore,Neurology_v1
CD1C,CD1C:P29017:Oncology,P29017,1636,CD1C,188340,ENSG00000158481,911,OID21483,T-cell surface glycoprotein CD1c,Olink Explore,Oncology_v1
CD2,CD2:P06729:Cardiometabolic_II,P06729,1639,CD2,186990,ENSG00000116824,914,OID30097,T-cell surface antigen CD2,Olink Explore,Cardiometabolic_v1
CD209,CD209:Q9NNX6:Cardiometabolic,Q9NNX6,1641,CD209,604672,ENSG00000090659,30835,OID20262,CD209 antigen,Olink Explore,Cardiometabolic_v1
CD22,CD22:P20273:Inflammation,P20273,1643,CD22,107266,ENSG00000012124,933,OID20637,B-cell receptor CD22,Olink Explore,Inflammation_v1
CD28,CD28:P10747:Oncology,P10747,1653,CD28,186760,ENSG00000178562,940,OID21265,T-cell-specific surface glycoprotein CD28,Olink Explore,Oncology_v1
CD33,CD33:P20138:Oncology,P20138,1659,CD33,159590,ENSG00000105383,945,OID21472,Myeloid cell surface antigen CD33,Olink Explore,Oncology_v1
CD34,CD34:P28906:Neurology,P28906,1662,CD34,142230,ENSG00000174059,947,OID21025,Hematopoietic progenitor cell antigen CD34,Olink Explore,Neurology_v1
CD36,CD36:P16671:Inflammation_II,P16671,1663,CD36,173510,ENSG00000135218,948,OID30485,Platelet glycoprotein 4,Olink Explore,Inflammation_v1
SCARB1,SCARB1:Q8WTV0:Neurology,Q8WTV0,1664,SCARB1,601040,ENSG00000073060,949,OID20805,Scavenger receptor class B member 1,Olink Explore,Neurology_v1
SCARB2,SCARB2:Q14108:Neurology,Q14108,1665,SCARB2,602257,ENSG00000138760,950,OID20943,Lysosome membrane protein 2,Olink Explore,Neurology_v1
CD38,CD38:P28907:Oncology,P28907,1667,CD38,107270,ENSG00000004468,952,OID21316,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Olink Explore,Oncology_v1
CD3G,CD3G:P09693:Inflammation_II,P09693,1675,CD3G,186740,ENSG00000160654,917,OID30448,T-cell surface glycoprotein CD3 gamma chain,Olink Explore,Inflammation_v1
CD4,CD4:P01730:Inflammation,P01730,1678,CD4,186940,ENSG00000010610,920,OID20584,T-cell surface glycoprotein CD4,Olink Explore,Inflammation_v1
CD48,CD48:P09326:Inflammation,P09326,1683,CD48,109530,ENSG00000117091,962,OID20692,CD48 antigen,Olink Explore,Inflammation_v1
CD5,CD5:P06127:Oncology,P06127,1685,CD5,153340,ENSG00000110448,921,OID21449,T-cell surface glycoprotein CD5,Olink Explore,Oncology_v1
CD58,CD58:P19256:Inflammation,P19256,1688,CD58,153420,ENSG00000116815,965,OID20716,Lymphocyte function-associated antigen 3,Olink Explore,Inflammation_v1
CD59,CD59:P13987:Cardiometabolic,P13987,1689,CD59,107271,ENSG00000085063,966,OID20339,CD59 glycoprotein,Olink Explore,Cardiometabolic_v1
CD5L,CD5L:O43866:Inflammation_II,O43866,1690,CD5L,602592,ENSG00000073754,922,OID30775,CD5 antigen-like,Olink Explore,Inflammation_v1
CD6,CD6:P30203:Inflammation,P30203,1691,CD6,186720,ENSG00000013725,923,OID20649,T-cell differentiation antigen CD6,Olink Explore,Inflammation_v1
CD63,CD63:P08962:Neurology,P08962,1692,CD63,155740,ENSG00000135404,967,OID20988,CD63 antigen,Olink Explore,Neurology_v1
CD69,CD69:Q07108:Cardiometabolic,Q07108,1694,CD69,107273,ENSG00000110848,969,OID20206,Early activation antigen CD69,Olink Explore,Cardiometabolic_v1
CD7,CD7:P09564:Inflammation_II,P09564,1695,CD7,186820,ENSG00000173762,924,OID30543,T-cell antigen CD7,Olink Explore,Inflammation_v1
CD72,CD72:P21854:Inflammation_II,P21854,1696,CD72,107272,ENSG00000137101,971,OID30641,B-cell differentiation antigen CD72,Olink Explore,Inflammation_v1
CD74,CD74:P04233:Neurology,P04233,1697,CD74,142790,ENSG00000019582,972,OID21040,HLA class II histocompatibility antigen gamma chain,Olink Explore,Neurology_v1
CD79B,CD79B:P40259:Inflammation,P40259,1699,CD79B,147245,ENSG00000007312,974,OID20635,B-cell antigen receptor complex-associated protein beta chain,Olink Explore,Inflammation_v1
CD80,CD80:P33681:Cardiometabolic_II,P33681,1700,CD80,112203,ENSG00000121594,941,OID30291,T-lymphocyte activation antigen CD80,Olink Explore,Cardiometabolic_v1
CD83,CD83:Q01151:Inflammation,Q01151,1703,CD83,604534,ENSG00000112149,9308,OID20565,CD83 antigen,Olink Explore,Inflammation_v1
CD84,CD84:Q9UIB8:Inflammation,Q9UIB8,1704,CD84,604513,ENSG00000066294,8832,OID20607,SLAM family member 5,Olink Explore,Inflammation_v1
CD86,CD86:P42081:Oncology_II,P42081,1705,CD86,601020,ENSG00000114013,942,OID31500,T-lymphocyte activation antigen CD86,Olink Explore,Oncology_v1
CD8A,CD8A:P01732:Neurology,P01732,1706,CD8A,186910,ENSG00000153563,925,OID21018,T-cell surface glycoprotein CD8 alpha chain,Olink Explore,Neurology_v1
ADGRE5,ADGRE5:P48960:Cardiometabolic,P48960,1711,ADGRE5,601211,ENSG00000123146,976,OID20260,Adhesion G protein-coupled receptor E5,Olink Explore,Cardiometabolic_v1
CDA,CDA:P32320:Cardiometabolic_II,P32320,1712,CDA,123920,ENSG00000158825,978,OID30345,Cytidine deaminase,Olink Explore,Cardiometabolic_v1
CDAN1,CDAN1:Q8IWY9:Neurology_II,Q8IWY9,1713,CDAN1,607465,ENSG00000140326,146059,OID31076,Codanin-1,Olink Explore,Neurology_v1
CDK1,CDK1:P06493:Oncology_II,P06493,1722,CDK1,116940,ENSG00000170312,983,OID31164,Cyclin-dependent kinase 1,Olink Explore,Oncology_v1
CDC27,CDC27:P30260:Oncology,P30260,1728,CDC27,116946,ENSG00000004897,996,OID21238,Cell division cycle protein 27 homolog,Olink Explore,Oncology_v1
CDC37,CDC37:Q16543:Oncology,Q16543,1735,CDC37,605065,ENSG00000105401,11140,OID21470,Hsp90 co-chaperone Cdc37,Olink Explore,Oncology_v1
CDC42BPB,CDC42BPB:Q9Y5S2:Oncology_II,Q9Y5S2,1738,CDC42BPB,614062,ENSG00000198752,9578,OID31485,Serine/threonine-protein kinase MRCK beta,Olink Explore,Oncology_v1
CDH1,CDH1:P12830:Cardiometabolic,P12830,1748,CDH1,192090,ENSG00000039068,999,OID20353,Cadherin-1,Olink Explore,Cardiometabolic_v1
CDH15,CDH15:P55291:Neurology,P55291,1754,CDH15,114019,ENSG00000129910,1013,OID21005,Cadherin-15,Olink Explore,Neurology_v1
CDH17,CDH17:Q12864:Cardiometabolic,Q12864,1756,CDH17,603017,ENSG00000079112,1015,OID20134,Cadherin-17,Olink Explore,Cardiometabolic_v1
CDH2,CDH2:P19022:Cardiometabolic,P19022,1759,CDH2,114020,ENSG00000170558,1000,OID20170,Cadherin-2,Olink Explore,Cardiometabolic_v1
CDH3,CDH3:P22223:Neurology,P22223,1762,CDH3,114021,ENSG00000062038,1001,OID21008,Cadherin-3,Olink Explore,Neurology_v1
CDH5,CDH5:P33151:Cardiometabolic,P33151,1764,CDH5,601120,ENSG00000179776,1003,OID20243,Cadherin-5,Olink Explore,Cardiometabolic_v1
CDH6,CDH6:P55285:Cardiometabolic,P55285,1765,CDH6,603007,ENSG00000113361,1004,OID20157,Cadherin-6,Olink Explore,Cardiometabolic_v1
CDKN1A,CDKN1A:P38936:Oncology,P38936,1784,CDKN1A,116899,ENSG00000124762,1026,OID21319,Cyclin-dependent kinase inhibitor 1,Olink Explore,Oncology_v1
CDKN2D,CDKN2D:P55273:Oncology,P55273,1790,CDKN2D,600927,ENSG00000129355,1032,OID21295,Cyclin-dependent kinase 4 inhibitor D,Olink Explore,Oncology_v1
CDSN,CDSN:Q15517:Inflammation,Q15517,1802,CDSN,602593,ENSG00000204539,1041,OID20667,Corneodesmosin,Olink Explore,Inflammation_v1
CEACAM1,CEACAM1:P13688:Oncology,P13688,1814,CEACAM1,109770,ENSG00000079385,634,OID21528,Carcinoembryonic antigen-related cell adhesion molecule 1,Olink Explore,Oncology_v1
CEACAM3,CEACAM3:P40198:Oncology,P40198,1815,CEACAM3,609142,ENSG00000170956,1084,OID21245,Carcinoembryonic antigen-related cell adhesion molecule 3,Olink Explore,Oncology_v1
CEACAM5,CEACAM5:P06731:Oncology,P06731,1817,CEACAM5,114890,ENSG00000105388,1048,OID21171,Carcinoembryonic antigen-related cell adhesion molecule 5,Olink Explore,Oncology_v1
CEACAM6,CEACAM6:P40199:Cardiometabolic_II,P40199,1818,CEACAM6,163980,ENSG00000086548,4680,OID30362,Carcinoembryonic antigen-related cell adhesion molecule 6,Olink Explore,Cardiometabolic_v1
CEACAM8,CEACAM8:P31997:Cardiometabolic,P31997,1820,CEACAM8,615747,ENSG00000124469,1088,OID20102,Carcinoembryonic antigen-related cell adhesion molecule 8,Olink Explore,Cardiometabolic_v1
CEBPA,CEBPA:P49715:Inflammation_II,P49715,1833,CEBPA,116897,ENSG00000245848,1050,OID30458,CCAAT/enhancer-binding protein alpha,Olink Explore,Inflammation_v1
